,person,location,date,organization
NSA_13,['Ciudad Madero'],"['Bogota', 'Columbia', 'Tampico', 'Mexico', 'Bogota', 'Tampico', 'Ojinaga']",[],"['the Los Andes Hotel', 'La Mirada St.']"
NSA_14,[],"['Moscow', 'Chitral', 'Pakistan']","['5 September, 2004']",['Central Russia Airlines']
NSA_15,[],"['Tehran', 'Iran', 'Tampico', 'Mexico', 'Tehran', 'Tampico']","['12 September, 2004']","['the Cultural Ministry', 'La Mirada St.', 'Pharsi']"
NSA_16,"['Jose Escalante', 'San Martin', 'Carlos Morales', 'Carlos', 'Arze', 'Sufaat']","['Havana', 'Cuba', 'Domingo', 'Dominican Republic', 'Havana', 'Havana', 'Columbia']","['28 September, 2004', 'November 21st', 'November 21st']",['Desague St.']
NSA_17,"['Rinaldo', 'Carlos', 'Cuidad Acuna']","['Bogota', 'Columbia', 'Tampico', 'Mexico', 'Bogota', 'Tampico']",['the tenth of this month'],"['the Los Andes Hotel', 'La Mirada St.']"
NSA_18,['Morales'],"['Chitral', 'Pakistan', 'Havana', 'Cuba', 'Havana']",['November 21st'],['Plasencia St.']
NSA_19,"['Riyad Said', 'Jose Ramirez']","['Bogota', 'Columbia', 'Tampico', 'Mexico', 'Bogota', 'Tampico']","['15 November, 2004', 'a few weeks ago', 'two days ago']","['the Los Andes Hotel', 'La Mirada St.']"
NSA_20,[],"['Chitral', 'Pakistan', 'Havana', 'Cuba', 'Nassau', 'Bahamas']","['21 NOvember, 2004']",['the Seashore Hotel']
NSA_21,"['Cuidad Acuna', 'Ciudad Acuna']","['Bogota', 'Columbia', 'Mexico', 'Bogota']","['28 November, 2004']",['the Los Andes Hotel']
NSA_22,['Boris'],"['Havana', 'Cuba', 'Moscow', 'Russia', 'Havana', 'Moscow', 'Casablanca', 'the Middle East', 'Iraq']","['28 November, 2004', 'January', 'January']","['Cuban Government', 'Central Russia Airlines']"
NSA_docs.txt,"['Bush', 'Rue Duhesme', 'Grootslagstraat', 'Abdul', 'Bugarov', 'Omar Hanif', 'Muslih Odeh', 'Boris Bugarov', 'Morales', 'Escalante', 'Ojinaga', 'Jose', 'Carlos', 'Ciudad Madero', 'Jose Escalante', 'San Martin', 'Carlos Morales', 'Carlos', 'Arze', 'Sufaat', 'Rinaldo', 'Carlos', 'Cuidad Acuna', 'Morales', 'Riyad Said', 'Jose Ramirez', 'Cuidad Acuna', 'Ciudad Acuna', 'Boris']","['Arabic', 'London', 'Paris', 'London', 'Paris', 'Texas', 'Amsterdam', 'Montreal', 'Canada', 'Amsterdam', 'Amsterdam', 'Montreal', 'Chicago', 'Paris', 'Ojinaga', 'Mexico', 'Paris', 'Ojinaga', 'Marrakech', 'Morocco', 'Windsor, Ontario', 'Canada', 'Moscow', 'Chitral', 'Pakistan', 'Casablanca', 'Nassau', 'Freeport', 'Bahamas', 'Nassau', 'Nassau', 'Karachi', 'Karachi', 'Pakistan', 'Panama City', 'Panama', 'Karachi', 'Panama City', 'Chitral', 'Pakistan', 'Casablanca', 'Morocco', 'Casablanca', 'Casablanca', 'Casablanca', 'Morocco', 'Domingo', 'Dominican Republic', 'Casablanca', 'Paris', 'France', 'Windsor, Ontario', 'Canada', 'Paris', 'Windsor', 'Buffalo', 'Chitral', 'Pakistan', 'Havana', 'Cuba', 'Havana', 'Calamar', 'Columbia', 'Ojinaga', 'Mexico', 'Calamar', 'Bogota', 'Columbia', 'Tampico', 'Mexico', 'Bogota', 'Tampico', 'Ojinaga', 'Moscow', 'Chitral', 'Pakistan', 'Tehran', 'Iran', 'Tampico', 'Mexico', 'Tehran', 'Tampico', 'Havana', 'Cuba', 'Domingo', 'Dominican Republic', 'Havana', 'Havana', 'Columbia', 'Bogota', 'Columbia', 'Tampico', 'Mexico', 'Bogota', 'Tampico', 'Chitral', 'Pakistan', 'Havana', 'Cuba', 'Havana', 'Bogota', 'Columbia', 'Tampico', 'Mexico', 'Bogota', 'Tampico', 'Chitral', 'Pakistan', 'Havana', 'Cuba', 'Nassau', 'Bahamas', 'Bogota', 'Columbia', 'Mexico', 'Bogota', 'Havana', 'Cuba', 'Moscow', 'Russia', 'Havana', 'Moscow', 'Casablanca', 'the Middle East', 'Iraq']","['28 March', '2003', '25 April, 2003', '2211', '15 July', '1 August, 2003', '3 September, 2003', '22 October', '5 September, 2003', '1789', 'last March', '25 September', 'the 20th', 'a few days', 'the 20th', '23 October, 2003', '65', '15 December, 2003', 'the 28th', 'the end of the month', 'May first', '5 September, 2004', '12 September, 2004', '28 September, 2004', 'November 21st', 'November 21st', 'the tenth of this month', 'November 21st', '15 November, 2004', 'a few weeks ago', 'two days ago', '21 NOvember, 2004', '28 November, 2004', '28 November, 2004', 'January', 'January']","['Rue De Civry', 'AOL', 'rder3', 'the Central Russian Airlines', 'Apple St.', 'the Holland Orange Shipping Lines', 'the Holland Orange Shipping Lines', 'Plasencia St.', 'the Los Palmas Hotel', 'the Los Andes Hotel', 'La Mirada St.', 'Central Russia Airlines', 'the Cultural Ministry', 'La Mirada St.', 'Pharsi', 'Desague St.', 'the Los Andes Hotel', 'La Mirada St.', 'Plasencia St.', 'the Los Andes Hotel', 'La Mirada St.', 'the Seashore Hotel', 'the Los Andes Hotel', 'Cuban Government', 'Central Russia Airlines']"
USCBP_01,['Mike Sanders'],"['Carrizo Springs', 'Texas', 'Texas', 'Uvalde', 'Laredo', 'Uvalde']","['3 August, 2004 two', '2 August, 2004', '2233']","['the Longhorn Motel', 'TX', 'TX', 'USCBP', 'TX', 'USCPB', 'Piedras Negras']"
USCBP_02,"['Pieter Dopple', 'A. Hijazi']","['Antwerp', 'Belgium', 'Newark']",['1212'],"['Hoveniersstraat', 'NJ', 'FBI', 'HIjazi', 'HIjazi', 'FBI', 'USPS']"
USCBP_docs.txt,"['Mike Sanders', 'Pieter Dopple', 'A. Hijazi']","['Carrizo Springs', 'Texas', 'Texas', 'Uvalde', 'Laredo', 'Uvalde', 'Antwerp', 'Belgium', 'Newark']","['3 August, 2004 two', '2 August, 2004', '2233', '1212']","['the Longhorn Motel', 'TX', 'TX', 'USCBP', 'TX', 'USCPB', 'Piedras Negras', 'Hoveniersstraat', 'NJ', 'FBI', 'HIjazi', 'HIjazi', 'FBI', 'USPS']"
